Num,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Datetime
0,1990,1,1,0,0,10.6,5.7,8,1990/1/1
1,1990,1,2,-3.9,0,0,0,14,1990/1/2
2,1990,1,3,-4.4,0,1.2,0.6,11,1990/1/3
3,1990,1,4,-2,0,2.2,0.8,11,1990/1/4
4,1990,1,5,-3.6,5.7,1,6.7,13,1990/1/5
5,1990,1,6,2,3.4,2,5.4,11,1990/1/6
6,1990,1,7,3.1,1.2,2.4,3,11,1990/1/7
7,1990,1,8,2.3,0,4,1.8,11,1990/1/8
8,1990,1,9,2.1,14,4.8,18.8,14,1990/1/9
9,1990,1,10,-0.8,0,0,0,8,1990/1/10
10,1990,1,11,-10,0,0,0,7,1990/1/11
11,1990,1,12,-10.3,0,0,0,7,1990/1/12
12,1990,1,13,-5.4,0,0,0,7,1990/1/13
13,1990,1,14,-2.6,0,0,0,5,1990/1/14
14,1990,1,15,-1.6,0,0,0,5,1990/1/15
15,1990,1,16,-4,0,0,0,5,1990/1/16
16,1990,1,17,-6.7,0,0,0,4,1990/1/17
17,1990,1,18,-8.6,0,0,0,4,1990/1/18
18,1990,1,19,-8.1,0,0,0,4,1990/1/19
19,1990,1,20,-6.1,0,0,0,4,1990/1/20
20,1990,1,21,-2.1,0,1.6,0.8,4,1990/1/21
21,1990,1,22,-0.1,0,3.2,2.2,6,1990/1/22
22,1990,1,23,-1.9,0,0,0,18.45903955,1990/1/23
23,1990,1,24,-5,0,2,1.3,18.45903955,1990/1/24
24,1990,1,25,-1.4,0,11.4,8.9,9,1990/1/25
25,1990,1,26,-4.7,0,1,0.3,19,1990/1/26
26,1990,1,27,-7.9,0,5.8,2.7,18,1990/1/27
27,1990,1,28,-3.1,0,11.6,7.7,19,1990/1/28
28,1990,1,29,-15,0,5.8,4.6,25,1990/1/29
29,1990,1,30,-20.2,0,12.6,9.4,20,1990/1/30
30,1990,1,31,-23.9,0,2.6,1.6,19,1990/1/31
31,1990,2,1,-14.6,0,3,1.1,15,1990/2/1
32,1990,2,2,-5.7,0,1,1,17,1990/2/2
33,1990,2,3,0.8,0,10.4,7.8,17,1990/2/3
34,1990,2,4,-0.5,0,11.2,7.6,27,1990/2/4
35,1990,2,5,-3.1,0,13.4,8.4,33,1990/2/5
36,1990,2,6,-2.8,0,0.6,0.2,41,1990/2/6
37,1990,2,7,-8.4,0,4.2,3.6,38,1990/2/7
38,1990,2,8,-5.9,0,0.4,0,40,1990/2/8
39,1990,2,9,-5.7,0,2,1.5,34,1990/2/9
40,1990,2,10,2.5,11.4,0,11.4,31,1990/2/10
41,1990,2,11,2.9,0,2.6,2.6,20,1990/2/11
42,1990,2,12,-10.6,0,1.6,0.8,19,1990/2/12
43,1990,2,13,-19,0,0,0,15.31278891,1990/2/13
44,1990,2,14,-20.5,0,0,0,18,1990/2/14
45,1990,2,15,-16.3,0,3.8,3.2,18,1990/2/15
46,1990,2,16,-19.3,0,3,2.2,21,1990/2/16
47,1990,2,17,-21.2,0,0,0,20,1990/2/17
48,1990,2,18,-14.9,0,0,0,20,1990/2/18
49,1990,2,19,-11.1,0,4,1.2,17,1990/2/19
50,1990,2,20,-2.3,0,14.6,5,21,1990/2/20
51,1990,2,21,1.4,0,0,0,30,1990/2/21
52,1990,2,22,5,0,0,0,26,1990/2/22
53,1990,2,23,0.5,0,0,0,20,1990/2/23
54,1990,2,24,-0.1,0,0,0,19,1990/2/24
55,1990,2,25,4.7,0,0,0,16,1990/2/25
56,1990,2,26,-1.7,0,0,0,14,1990/2/26
57,1990,2,27,-3.7,0,0,0,12,1990/2/27
58,1990,2,28,-4.1,0,0,0,10,1990/2/28
59,1990,3,1,-3.2,0,0,0,9,1990/3/1
60,1990,3,2,-2.4,0,0,0,8,1990/3/2
61,1990,3,3,-2.1,0,0,0,5,1990/3/3
62,1990,3,4,-1.2,0,0,0,5,1990/3/4
63,1990,3,5,1.5,0,0,0,4,1990/3/5
64,1990,3,6,-0.6,0,0,0,0,1990/3/6
65,1990,3,7,4.7,1,1.2,2.2,0,1990/3/7
66,1990,3,8,-0.8,0,3.8,2.9,0,1990/3/8
67,1990,3,9,-1.5,0,2.6,1.4,3,1990/3/9
68,1990,3,10,0.7,0,2.2,0.8,3,1990/3/10
69,1990,3,11,-1.5,0,7.2,3.9,1,1990/3/11
70,1990,3,12,-1.1,0,2.6,1,8,1990/3/12
71,1990,3,13,0.3,0,0,0,4,1990/3/13
72,1990,3,14,1,0,0,0,2,1990/3/14
73,1990,3,15,-1,0,0,0,0,1990/3/15
74,1990,3,16,0.6,0,2.4,1.4,0,1990/3/16
75,1990,3,17,3.2,0,0,0,2,1990/3/17
76,1990,3,18,2.6,0,0,0,0,1990/3/18
77,1990,3,19,3.2,0,0,0,0,1990/3/19
78,1990,3,20,4.1,0.5,0,0.5,0,1990/3/20
79,1990,3,21,3.8,0,3,1.6,0,1990/3/21
80,1990,3,22,-10.5,0,0,0,2,1990/3/22
81,1990,3,23,-9.2,0,0,0,1,1990/3/23
82,1990,3,24,-7.9,0,0,0,0,1990/3/24
83,1990,3,25,-2.7,0,0,0,0,1990/3/25
84,1990,3,26,0.7,0,0,0,0,1990/3/26
85,1990,3,27,2.2,0,0,0,0,1990/3/27
86,1990,3,28,3.1,0,0,0,0,1990/3/28
87,1990,3,29,3.2,0,0,0,0,1990/3/29
88,1990,3,30,6,0,0,0,0,1990/3/30
89,1990,3,31,7.4,0,0,0,0,1990/3/31
90,1990,4,1,9.4,0,0,0,0,1990/4/1
91,1990,4,2,8.4,0,0,0,0,1990/4/2
92,1990,4,3,8,0,0,0,0,1990/4/3
93,1990,4,4,3.3,0,0,0,0,1990/4/4
94,1990,4,5,4.9,0,0,0,0,1990/4/5
95,1990,4,6,4.7,1.6,2.4,4,0,1990/4/6
96,1990,4,7,6.5,0.5,0.4,0.9,2,1990/4/7
97,1990,4,8,0.6,0,11,5.3,0,1990/4/8
98,1990,4,9,-4.2,0,7,4,8,1990/4/9
99,1990,4,10,-3.7,0,0,0,8,1990/4/10
100,1990,4,11,2.6,0.6,0,0.6,0,1990/4/11
101,1990,4,12,7.1,0.2,0,0.2,0,1990/4/12
102,1990,4,13,4.3,0,0,0,0,1990/4/13
103,1990,4,14,8,0,0,0,0,1990/4/14
104,1990,4,15,6.8,0,0,0,0,1990/4/15
105,1990,4,16,6.6,0,0,0,0,1990/4/16
106,1990,4,17,6.6,0,0,0,0,1990/4/17
107,1990,4,18,8.6,0,0,0,0,1990/4/18
108,1990,4,19,10.2,0,0,0,0,1990/4/19
109,1990,4,20,10.8,0,0,0,0,1990/4/20
110,1990,4,21,9.6,0,0,0,0,1990/4/21
111,1990,4,22,8.8,0,0,0,0,1990/4/22
112,1990,4,23,8.1,2,0,2,0,1990/4/23
113,1990,4,24,7.9,1.3,0,1.3,0,1990/4/24
114,1990,4,25,4.8,0,0,0,0,1990/4/25
115,1990,4,26,4.4,1.2,0,1.2,0,1990/4/26
116,1990,4,27,5,1.4,7.2,5.5,0,1990/4/27
117,1990,4,28,0.6,0,0,0,4,1990/4/28
118,1990,4,29,0,0,0,0,0,1990/4/29
119,1990,4,30,3.1,0,0,0,0,1990/4/30
120,1990,5,1,8.1,0.6,0,0.6,0,1990/5/1
121,1990,5,2,9.4,0,0,0,0,1990/5/2
122,1990,5,3,8.2,0,0,0,0,1990/5/3
123,1990,5,4,10.5,0,0,0,0,1990/5/4
124,1990,5,5,12.8,0,0,0,0,1990/5/5
125,1990,5,6,11.3,0,0,0,0,1990/5/6
126,1990,5,7,3.4,0,4,4,0,1990/5/7
127,1990,5,8,2.7,0,0,0,4,1990/5/8
128,1990,5,9,4.8,0,0,0,0,1990/5/9
129,1990,5,10,4.2,0.8,0,0.8,0,1990/5/10
