Num,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Datetime
0,1980,3,1,0.224040921,0,0,0,16.60409556,1980/3/1
1,1980,3,2,0.224040921,0,0,0,16.60409556,1980/3/2
2,1980,3,3,-12.3,0,3.2,3.2,16.60409556,1980/3/3
3,1980,3,4,-13.8,0,0,0,16.60409556,1980/3/4
4,1980,3,5,-15.8,0,0,0,16.60409556,1980/3/5
5,1980,3,6,-14.3,0,0,0,16.60409556,1980/3/6
6,1980,3,7,-10,0,0,0,16.60409556,1980/3/7
7,1980,3,8,-5.3,0,0,0,16.60409556,1980/3/8
8,1980,3,9,0.5,0,0,0,16.60409556,1980/3/9
9,1980,3,10,2.5,0.2,0.6,0.8,16.60409556,1980/3/10
10,1980,3,11,1,0,2.8,2.8,16.60409556,1980/3/11
11,1980,3,12,-1,0,6.4,6.4,16.60409556,1980/3/12
12,1980,3,13,-1.8,0,4.8,4.8,16.60409556,1980/3/13
13,1980,3,14,0.3,0,1.8,1.8,16.60409556,1980/3/14
14,1980,3,15,-1.5,0,0,0,16.60409556,1980/3/15
15,1980,3,16,-6.5,0,0,0,16.60409556,1980/3/16
16,1980,3,17,-0.8,0,0.4,0.4,16.60409556,1980/3/17
17,1980,3,18,2,0,0,0,16.60409556,1980/3/18
18,1980,3,19,2,0,0,0,16.60409556,1980/3/19
19,1980,3,20,0,0,0,0,16.60409556,1980/3/20
20,1980,3,21,2,0,0,0,16.60409556,1980/3/21
21,1980,3,22,1.8,1,0.8,1.8,16.60409556,1980/3/22
22,1980,3,23,0.8,0,15,15,16.60409556,1980/3/23
23,1980,3,24,0,0,0,0,16.60409556,1980/3/24
24,1980,3,25,-2.3,0,0,0,16.60409556,1980/3/25
25,1980,3,26,-1.8,0,0,0,16.60409556,1980/3/26
26,1980,3,27,2,0,0,0,16.60409556,1980/3/27
27,1980,3,28,3,0,0.8,0.8,16.60409556,1980/3/28
28,1980,3,29,1.5,0,4.4,4.4,16.60409556,1980/3/29
29,1980,3,30,-0.8,0,0,0,16.60409556,1980/3/30
30,1980,3,31,-1.5,0,0.2,0.2,16.60409556,1980/3/31
31,1980,4,1,-2.8,0,0,0,15.13249776,1980/4/1
32,1980,4,2,0.3,0,0,0,15.13249776,1980/4/2
33,1980,4,3,0,0,0,0,15.13249776,1980/4/3
34,1980,4,4,1.5,0,0,0,15.13249776,1980/4/4
35,1980,4,5,1.8,0,0.6,0.6,15.13249776,1980/4/5
36,1980,4,6,3.8,0,0.2,0.2,15.13249776,1980/4/6
37,1980,4,7,0.8,0,0.2,0.2,15.13249776,1980/4/7
38,1980,4,8,-1.5,0,0.2,0.2,15.13249776,1980/4/8
39,1980,4,9,1.3,2.6,1,3.6,15.13249776,1980/4/9
40,1980,4,10,3.3,0.6,0.4,1,15.13249776,1980/4/10
41,1980,4,11,3.8,0,0,0,15.13249776,1980/4/11
42,1980,4,12,4,0,0,0,15.13249776,1980/4/12
43,1980,4,13,7,0,0,0,15.13249776,1980/4/13
44,1980,4,14,8,1,0,1,15.13249776,1980/4/14
45,1980,4,15,7.3,0.4,0,0.4,15.13249776,1980/4/15
46,1980,4,16,6.3,0,0,0,15.13249776,1980/4/16
47,1980,4,17,8.5,0,0,0,15.13249776,1980/4/17
48,1980,4,18,9.5,0,0,0,15.13249776,1980/4/18
49,1980,4,19,9.8,0,0,0,15.13249776,1980/4/19
50,1980,4,20,8.8,0,0,0,15.13249776,1980/4/20
51,1980,4,21,5,3,0,3,15.13249776,1980/4/21
52,1980,4,22,8,0,0,0,15.13249776,1980/4/22
53,1980,4,23,10.8,0,0,0,15.13249776,1980/4/23
54,1980,4,24,11.5,0.4,0,0.4,15.13249776,1980/4/24
55,1980,4,25,13,0,0,0,15.13249776,1980/4/25
56,1980,4,26,11.8,0,0,0,15.13249776,1980/4/26
57,1980,4,27,11.3,0,0,0,15.13249776,1980/4/27
58,1980,4,28,12,0,0,0,15.13249776,1980/4/28
59,1980,4,29,11,9,0,9,15.13249776,1980/4/29
60,1980,4,30,11,0,0,0,15.13249776,1980/4/30
61,1980,5,1,11.8,0,0,0,5.547069272,1980/5/1
62,1980,5,2,10.5,0,0,0,5.547069272,1980/5/2
63,1980,5,3,10.8,0,0,0,5.547069272,1980/5/3
64,1980,5,4,11.8,0,0,0,5.547069272,1980/5/4
65,1980,5,5,12.3,0,0,0,5.547069272,1980/5/5
66,1980,5,6,10.5,8.2,0,8.2,5.547069272,1980/5/6
67,1980,5,7,6.8,2.4,0,2.4,5.547069272,1980/5/7
68,1980,5,8,9.8,0,0,0,5.547069272,1980/5/8
69,1980,5,9,9.5,0,0,0,5.547069272,1980/5/9
70,1980,5,10,11.3,0,0,0,5.547069272,1980/5/10
71,1980,5,11,8,0,0,0,5.547069272,1980/5/11
72,1980,5,12,8.8,0,0,0,5.547069272,1980/5/12
73,1980,5,13,9.5,0,0,0,5.547069272,1980/5/13
74,1980,5,14,10.3,0,0,0,5.547069272,1980/5/14
75,1980,5,15,9.8,0,0,0,5.547069272,1980/5/15
76,1980,5,16,12,0,0,0,5.547069272,1980/5/16
77,1980,5,17,11.8,0,0,0,5.547069272,1980/5/17
78,1980,5,18,11.3,1,0,1,5.547069272,1980/5/18
79,1980,5,19,12.8,0,0,0,5.547069272,1980/5/19
80,1980,5,20,16.3,0.4,0,0.4,5.547069272,1980/5/20
81,1980,5,21,17,0,0,0,5.547069272,1980/5/21
82,1980,5,22,13.3,5.4,0,5.4,5.547069272,1980/5/22
83,1980,5,23,7.3,10.8,0,10.8,5.547069272,1980/5/23
84,1980,5,24,7.5,0.8,0,0.8,5.547069272,1980/5/24
85,1980,5,25,9.5,26.4,0,26.4,5.547069272,1980/5/25
86,1980,5,26,10,4.2,0,4.2,5.547069272,1980/5/26
87,1980,5,27,9.3,0,0,0,5.547069272,1980/5/27
88,1980,5,28,8.8,0,0,0,5.547069272,1980/5/28
89,1980,5,29,8,8.4,0,8.4,5.547069272,1980/5/29
90,1980,5,30,9.8,4.6,0,4.6,5.547069272,1980/5/30
91,1980,5,31,10,0.8,0,0.8,5.547069272,1980/5/31
92,1980,6,1,11.3,0.6,0,0.6,0.594594595,1980/6/1
93,1980,6,2,5.3,14.6,0,14.6,0.594594595,1980/6/2
94,1980,6,3,4.5,0.6,0,0.6,0.594594595,1980/6/3
95,1980,6,4,8,0.4,0,0.4,0.594594595,1980/6/4
96,1980,6,5,8.5,5.4,0,5.4,0.594594595,1980/6/5
97,1980,6,6,8.5,0.4,0,0.4,0.594594595,1980/6/6
98,1980,6,7,7.3,0,0,0,0.594594595,1980/6/7
