Date/Time,Year,Month,Day,Mean Temp (C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm)
1990/1/1,1990,1,1,,,,,
1990/1/2,1990,1,2,,,,,
1990/1/3,1990,1,3,,,,,
1990/1/4,1990,1,4,,,,,
1990/1/5,1990,1,5,,,,,
1990/1/6,1990,1,6,-1.983333333,1.516666667,2.833333333,3.2,11.33333333
1990/1/7,1990,1,7,-1.466666667,1.716666667,1.466666667,2.75,11.83333333
1990/1/8,1990,1,8,-0.433333333,1.716666667,2.133333333,3.05,11.33333333
1990/1/9,1990,1,9,0.65,4.05,2.733333333,6.083333333,11.83333333
1990/1/10,1990,1,10,0.85,4.05,2.366666667,5.95,11.33333333
1990/1/11,1990,1,11,-0.216666667,3.1,2.2,4.833333333,10.33333333
1990/1/12,1990,1,12,-2.266666667,2.533333333,1.866666667,3.933333333,9.666666667
1990/1/13,1990,1,13,-3.683333333,2.333333333,1.466666667,3.433333333,9
1990/1/14,1990,1,14,-4.5,2.333333333,0.8,3.133333333,8
1990/1/15,1990,1,15,-5.116666667,0,0,0,6.5
1990/1/16,1990,1,16,-5.65,0,0,0,6
1990/1/17,1990,1,17,-5.1,0,0,0,5.5
1990/1/18,1990,1,18,-4.816666667,0,0,0,5
1990/1/19,1990,1,19,-5.266666667,0,0,0,4.5
1990/1/20,1990,1,20,-5.85,0,0,0,4.333333333
1990/1/21,1990,1,21,-5.933333333,0,0.266666667,0.133333333,4.166666667
1990/1/22,1990,1,22,-5.283333333,0,0.8,0.5,4.333333333
1990/1/23,1990,1,23,-4.483333333,0,0.8,0.5,4.4
1990/1/24,1990,1,24,-3.883333333,0,1.133333333,0.716666667,4.5
1990/1/25,1990,1,25,-2.766666667,0,3.033333333,2.2,5.75
1990/1/26,1990,1,26,-2.533333333,0,3.2,2.25,9.5
1990/1/27,1990,1,27,-3.5,0,3.9,2.566666667,13
1990/1/28,1990,1,28,-4,0,5.3,3.483333333,16.25
1990/1/29,1990,1,29,-6.183333333,0,6.266666667,4.25,18
1990/1/30,1990,1,30,-8.716666667,0,8.033333333,5.6,18.33333333
1990/1/31,1990,1,31,-12.46666667,0,6.566666667,4.383333333,20
1990/2/1,1990,2,1,-14.11666667,0,6.9,4.516666667,19.33333333
1990/2/2,1990,2,2,-13.75,0,6.1,4.233333333,19.16666667
1990/2/3,1990,2,3,-13.1,0,5.9,4.25,18.83333333
1990/2/4,1990,2,4,-10.68333333,0,6.8,4.75,19.16666667
1990/2/5,1990,2,5,-7.833333333,0,6.933333333,4.583333333,21.33333333
1990/2/6,1990,2,6,-4.316666667,0,6.6,4.35,25
1990/2/7,1990,2,7,-3.283333333,0,6.8,4.766666667,28.83333333
1990/2/8,1990,2,8,-3.316666667,0,6.7,4.6,32.66666667
1990/2/9,1990,2,9,-4.4,0,5.3,3.55,35.5
1990/2/10,1990,2,10,-3.9,1.9,3.433333333,4.183333333,36.16666667
1990/2/11,1990,2,11,-2.9,1.9,1.633333333,3.216666667,34
1990/2/12,1990,2,12,-4.2,1.9,1.8,3.316666667,30.33333333
1990/2/13,1990,2,13,-5.966666667,1.9,1.1,2.716666667,28.8
1990/2/14,1990,2,14,-8.4,1.9,1.033333333,2.716666667,24.4
1990/2/15,1990,2,15,-10.16666667,1.9,1.333333333,3,21.2
1990/2/16,1990,2,16,-13.8,0,1.833333333,1.466666667,19.2
1990/2/17,1990,2,17,-17.81666667,0,1.4,1.033333333,19.2
1990/2/18,1990,2,18,-18.53333333,0,1.133333333,0.9,19.4
1990/2/19,1990,2,19,-17.21666667,0,1.8,1.1,19
1990/2/20,1990,2,20,-14.18333333,0,4.233333333,1.933333333,19.5
1990/2/21,1990,2,21,-11.23333333,0,3.6,1.4,21.5
1990/2/22,1990,2,22,-7.183333333,0,3.1,1.033333333,22.33333333
1990/2/23,1990,2,23,-3.566666667,0,3.1,1.033333333,22.33333333
1990/2/24,1990,2,24,-1.1,0,3.1,1.033333333,22.16666667
1990/2/25,1990,2,25,1.533333333,0,2.433333333,0.833333333,22
1990/2/26,1990,2,26,1.633333333,0,0,0,20.83333333
1990/2/27,1990,2,27,0.783333333,0,0,0,17.83333333
1990/2/28,1990,2,28,-0.733333333,0,0,0,15.16666667
1990/3/1,1990,3,1,-1.35,0,0,0,13.33333333
1990/3/2,1990,3,2,-1.733333333,0,0,0,11.5
1990/3/3,1990,3,3,-2.866666667,0,0,0,9.666666667
1990/3/4,1990,3,4,-2.783333333,0,0,0,8.166666667
1990/3/5,1990,3,5,-1.916666667,0,0,0,6.833333333
1990/3/6,1990,3,6,-1.333333333,0,0,0,5.166666667
1990/3/7,1990,3,7,-0.016666667,0.166666667,0.2,0.366666667,3.666666667
1990/3/8,1990,3,8,0.25,0.166666667,0.833333333,0.85,2.333333333
1990/3/9,1990,3,9,0.35,0.166666667,1.266666667,1.083333333,2
1990/3/10,1990,3,10,0.666666667,0.166666667,1.633333333,1.216666667,1.666666667
1990/3/11,1990,3,11,0.166666667,0.166666667,2.833333333,1.866666667,1.166666667
1990/3/12,1990,3,12,0.083333333,0.166666667,3.266666667,2.033333333,2.5
1990/3/13,1990,3,13,-0.65,0,3.066666667,1.666666667,3.166666667
1990/3/14,1990,3,14,-0.35,0,2.433333333,1.183333333,3.5
1990/3/15,1990,3,15,-0.266666667,0,2,0.95,3
1990/3/16,1990,3,16,-0.283333333,0,2.033333333,1.05,2.5
1990/3/17,1990,3,17,0.5,0,0.833333333,0.4,2.666666667
1990/3/18,1990,3,18,1.116666667,0,0.4,0.233333333,1.333333333
1990/3/19,1990,3,19,1.6,0,0.4,0.233333333,0.666666667
1990/3/20,1990,3,20,2.116666667,0.083333333,0.4,0.316666667,0.333333333
1990/3/21,1990,3,21,2.916666667,0.083333333,0.9,0.583333333,0.333333333
1990/3/22,1990,3,22,1.066666667,0.083333333,0.5,0.35,0.666666667
1990/3/23,1990,3,23,-1,0.083333333,0.5,0.35,0.5
1990/3/24,1990,3,24,-2.75,0.083333333,0.5,0.35,0.5
1990/3/25,1990,3,25,-3.733333333,0.083333333,0.5,0.35,0.5
1990/3/26,1990,3,26,-4.3,0,0.5,0.266666667,0.5
1990/3/27,1990,3,27,-4.566666667,0,0,0,0.5
1990/3/28,1990,3,28,-2.3,0,0,0,0.166666667
1990/3/29,1990,3,29,-0.233333333,0,0,0,0
1990/3/30,1990,3,30,2.083333333,0,0,0,0
1990/3/31,1990,3,31,3.766666667,0,0,0,0
1990/4/1,1990,4,1,5.216666667,0,0,0,0
1990/4/2,1990,4,2,6.25,0,0,0,0
1990/4/3,1990,4,3,7.066666667,0,0,0,0
1990/4/4,1990,4,4,7.083333333,0,0,0,0
1990/4/5,1990,4,5,6.9,0,0,0,0
1990/4/6,1990,4,6,6.45,0.266666667,0.4,0.666666667,0
1990/4/7,1990,4,7,5.966666667,0.35,0.466666667,0.816666667,0.333333333
1990/4/8,1990,4,8,4.666666667,0.35,2.3,1.7,0.333333333
1990/4/9,1990,4,9,2.633333333,0.35,3.466666667,2.366666667,1.666666667
1990/4/10,1990,4,10,1.466666667,0.35,3.466666667,2.366666667,3
1990/4/11,1990,4,11,1.083333333,0.45,3.466666667,2.466666667,3
1990/4/12,1990,4,12,1.483333333,0.216666667,3.066666667,1.833333333,3
1990/4/13,1990,4,13,1.116666667,0.133333333,3,1.683333333,2.666666667
1990/4/14,1990,4,14,2.35,0.133333333,1.166666667,0.8,2.666666667
1990/4/15,1990,4,15,4.183333333,0.133333333,0,0.133333333,1.333333333
1990/4/16,1990,4,16,5.9,0.133333333,0,0.133333333,0
1990/4/17,1990,4,17,6.566666667,0.033333333,0,0.033333333,0
1990/4/18,1990,4,18,6.816666667,0,0,0,0
1990/4/19,1990,4,19,7.8,0,0,0,0
1990/4/20,1990,4,20,8.266666667,0,0,0,0
1990/4/21,1990,4,21,8.733333333,0,0,0,0
