Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-114.88,49.75,SPARWOOD,1157630,1990/1/1,1990,1,1,,0.5,,-0.5,,0,,18,,0,,0,,10.6,,5.7,,8,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/2,1990,1,2,,-0.5,,-7.3,,-3.9,,21.9,,0,,0,,0,T,0,T,14,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/3,1990,1,3,,-1.2,,-7.6,,-4.4,,22.4,,0,,0,,1.2,,0.6,,11,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/4,1990,1,4,,0.3,,-4.3,,-2,,20,,0,,0,,2.2,,0.8,,11,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/5,1990,1,5,,3.6,,-10.7,,-3.6,,21.6,,0,,5.7,,1,,6.7,,13,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/6,1990,1,6,,3.7,,0.3,,2,,16,,0,,3.4,,2,,5.4,,11,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/7,1990,1,7,,5.8,,0.3,,3.1,,14.9,,0,,1.2,,2.4,,3,,11,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/8,1990,1,8,,4.6,,0,,2.3,,15.7,,0,,0,,4,,1.8,,11,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/9,1990,1,9,,4.6,,-0.5,,2.1,,15.9,,0,,14,,4.8,,18.8,,14,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/10,1990,1,10,,0.5,,-2,,-0.8,,18.8,,0,,0,,0,T,0,T,8,,,,,
-114.88,49.75,SPARWOOD,1157630,1990/1/11,1990,1,11,,-4.6,,-15.4,,-10,,28,,0,,0,,0,T,0,T,7,,,,,
